segment_id;machine_translation;reference_or_original;batch_id
37;Hong Kong, Macao and Taiwan (Macao) Adopted a Bill to Avoid Double Taxation;(HK, Macau, Taiwan)  Macau Passes Double Taxation Relief Bill;1
38;Hong Kong, Macao and Taiwan (Macao) Adopted a Bill to Avoid Double Taxation;(Hong Kong, Macau and Taiwan) Macau Passed Legalization to Avoid Double Tax;2
39;Hong Kong, Macao and Taiwan (Macao) Adopted a Bill to Avoid Double Taxation;(Hong Kong, Macao and Taiwan) Macao Passes Bill to Avoid Double Taxation;3
40;Hong Kong, Macao and Taiwan (Macao) Adopted a Bill to Avoid Double Taxation;(Hong Kong, Macao and Taiwan) Macao Passed an Act to Avoid Double Taxation;4
41;January China's Consumer Prices;Consumer prices in China up in January;1
42;January China's Consumer Prices;China Resident Consumer Price Went Up In January;2
43;January China's Consumer Prices;Chinese Consumer Prices Rise in January;3
44;January China's Consumer Prices;Chinese Residents Consumption Price Increased in January;4
45;(International) in Cote D'ivoire by French Troops Attack;(International) French Troops Attacked in Cote d'Ivoire;1
46;(International) in Cote D'ivoire by French Troops Attack;(International) The French Army in Ivory Coast Was Attacked;2
47;(International) in Cote D'ivoire by French Troops Attack;(International) French Troops in Cote d'Ivoire Attacked;3
48;(International) in Cote D'ivoire by French Troops Attack;(International) French Army in Cote d'Ivoire Attacked;4
49;Shenzhen Luohu Custom strictly beats the currency smuggles;Shenzhen Luohu Customs Cracks down on Currency Smuggling;1
50;Shenzhen Luohu Custom strictly beats the currency smuggles;The Customs Department at Shenzhen Luohu Is Severely Cracking Down Money Smuggling;2
51;Shenzhen Luohu Custom strictly beats the currency smuggles;Shenzhen Luohu Customs Harshly Cracks Down on Currency Smuggling;3
52;Shenzhen Luohu Custom strictly beats the currency smuggles;Luohu Custom of Shenzhen Severely Strikes Currency Smuggling;4
53;USA restores receives Iraq refugee;US Resumes Admission of Iraqi Refugees;1
54;USA restores receives Iraq refugee;U.S. Resumes Admission of Iraqi Refugees;2
55;USA restores receives Iraq refugee;US Resumes to Accept Iraqi Refugees;3
56;USA restores receives Iraq refugee;The US Resumes to accept Iraqi Refugees;4
57;but today people have little knowledge about diseases .;However, what causes the disorder has so far remained virtually unknown.;1
58;but today people have little knowledge about diseases .;However, people have little knowledge about the cause of this illness.;2
59;but today people have little knowledge about diseases .;However, people know little about the cause of the disease so far.;3
60;but today people have little knowledge about diseases .;However, people still know almost nothing of its causes.;4
61;to 21 early morning , disaster relief work has ended .;As of the early morning of the 21st, the rescue work has completed.;1
62;to 21 early morning , disaster relief work has ended .;The rescue mission was completed in the early morning of 21st.;2
63;to 21 early morning , disaster relief work has ended .;Rescue work had ended by the early morning of January 21.;3
64;to 21 early morning , disaster relief work has ended .;Until this morning, emergency and evacuation working had been finished.;4
65;( international ) chile agree to and sign on the implementation of animals and plants health measures memorandum;(International) China and Chile Sign Memorandum on Application of Animal and Plant Sanitary Measures;1
66;( international ) chile agree to and sign on the implementation of animals and plants health measures memorandum;(International) China and Chile Signed a Memorandum of Understanding in Sanitary and Phytosanitary Measures;2
67;( international ) chile agree to and sign on the implementation of animals and plants health measures memorandum;(International) China and Chile Sign Memorandum on the Implementation of Animal and Plant Sanitation Measures;3
68;( international ) chile agree to and sign on the implementation of animals and plants health measures memorandum;(International) China and Chile Signed a Memorandum on Taking Measures for Animal and Plant Health;4
69;American most greatly chain-like retail merchant K M A R T hopes to make a profit ahead of time;Largest US Chain Retailer Kmart May See Profit Sooner;1
70;American most greatly chain-like retail merchant K M A R T hopes to make a profit ahead of time;U.S. Biggest Retail Chain Store Kmart May Return to Profits Earlier Than Expected;2
71;American most greatly chain-like retail merchant K M A R T hopes to make a profit ahead of time;US Largest Chain Retailer K-Mart Expected to Make Profits Ahead of Plan;3
72;American most greatly chain-like retail merchant K M A R T hopes to make a profit ahead of time;KMART, the Biggest Chain Retailer in the US Hopeful of Profit in Advance;4
73;De Villepin did not disclose the number of troops.;De Villepin did not disclose the number of the reinforcement troops.;1
74;De Villepin did not disclose the number of troops.;De Villepin did not specify the size of the reinforcement troop.;2
75;De Villepin did not disclose the number of troops.;De Villepin did not disclose the number of the reinforcement forces.;3
76;De Villepin did not disclose the number of troops.;Dewuierpan did not tell how many troops is in the reinforcement.;4
77;The volunteer use the rubber boat to send when ground resident go to store shopping .;Volunteers ferried local residents in rubber boats to the stores for shopping.;1
78;The volunteer use the rubber boat to send when ground resident go to store shopping .;Volunteers used rubber dinghies to help local residents to go shopping.;2
79;The volunteer use the rubber boat to send when ground resident go to store shopping .;Volunteers are shipping local residents to do shopping with pneumatic boats.;3
80;The volunteer use the rubber boat to send when ground resident go to store shopping .;Volunteers use rubber boat to transport local residents to shops.;4
81;We must remain united, insisting that Saddam Hussein's regime disarmament.;We must keep united and insist that the Hussein regime be disarmed.;1
82;We must remain united, insisting that Saddam Hussein's regime disarmament.;We must remain united in insisting that Saddam Hussein's regime to disarm.;2
83;We must remain united, insisting that Saddam Hussein's regime disarmament.;We should keep unity and firmly require Hussein's regime to disarm.;3
84;We must remain united, insisting that Saddam Hussein's regime disarmament.;We must remain united in insisting that Hussein's regime is disarmed.;4
85;The US Olympic Committee functions were poor, was previously a fierce internal loss and.;The USOC has been doing a poor job and been recently torn by fierce internal bickering.;1
86;The US Olympic Committee functions were poor, was previously a fierce internal loss and.;The U.S. Olympic Committee is dysfunctional because of fierce internal feuds earlier.;2
87;The US Olympic Committee functions were poor, was previously a fierce internal loss and.;The US Olympic Committee has not been functioning well with intense internal disputes earlier.;3
88;The US Olympic Committee functions were poor, was previously a fierce internal loss and.;The dysfunctioning USOC has shown serious inner squabbling.;4
89;At present the Cambodian police still were unable to confirm whether had the personnel casualty.;At this moment, the Cambodian police are still unable to confirm whether there is any casualty.;1
90;At present the Cambodian police still were unable to confirm whether had the personnel casualty.;The Cambodian police cannot confirm whether there is any casualty at this moment.;2
91;At present the Cambodian police still were unable to confirm whether had the personnel casualty.;So far, there is no confirmation from the Cambodian police of any casualties.;3
92;At present the Cambodian police still were unable to confirm whether had the personnel casualty.;The Cambodian police still cannot confirm casualties at present.;4
93;the united states in 2001 leading aimed at overthrowing the taliban regime in afghanistan military operations around the its embassy in indonesia so faced constant protest activities .;Since around the time the United States led the military actions in Afghanistan aimed to overthrow the Taliban regime in 2001, its embassy in Indonesia has been endlessly confronted with protesting activities.;1
94;the united states in 2001 leading aimed at overthrowing the taliban regime in afghanistan military operations around the its embassy in indonesia so faced constant protest activities .;The U.S. embassy in Jakarta had faced frequent protests before and after the U.S. led military actions in Afghanistan aimed at ousting the Taliban regime in 2001.;2
95;the united states in 2001 leading aimed at overthrowing the taliban regime in afghanistan military operations around the its embassy in indonesia so faced constant protest activities .;Before and after the US-led military operation in Afghanistan aimed at overthrowing the Taliban regime in 2001, its embassy in Indonesia faced continued demonstrations.;3
96;the united states in 2001 leading aimed at overthrowing the taliban regime in afghanistan military operations around the its embassy in indonesia so faced constant protest activities .;The embassy was the scene of frequent protests before and after the start in 2001 of the US-led military campaign in Afghanistan to oust the Taliban leadership.;4
97;powell said : "" we will not lone . this can define .;Powell said: ""We'd not be alone; that's for sure.;1
98;powell said : "" we will not lone . this can define .;Powell said, ""We will not be alone and that is for sure.;2
99;powell said : "" we will not lone . this can define .;Powell said: ""We are not alone. This is certain.;3
100;powell said : "" we will not lone . this can define .;Powell said, ""We will not be alone, that's for sure.;4
101;the Chinese Red Cross Society the Federation of the donation on telephone 010 - 65,139,999 ( 24 hours on duty );CRCS' donation hotline number is 010-65139999 (24 hours).;1
102;the Chinese Red Cross Society the Federation of the donation on telephone 010 - 65,139,999 ( 24 hours on duty );The donation hotline for China Red Cross head office is 010-65139999 (24-hour).;2
103;the Chinese Red Cross Society the Federation of the donation on telephone 010 - 65,139,999 ( 24 hours on duty );The donation telephone number of the China Red Cross Association is 010-65139999 (on duty around the clock);3
104;the Chinese Red Cross Society the Federation of the donation on telephone 010 - 65,139,999 ( 24 hours on duty );The number of CRCS 24-hour hotline for donations is 86-10-65139999.;4
105;we don't want to do this. 」;We don't want to do that."";1
106;we don't want to do this. 」;We do not want to do that."";2
107;we don't want to do this. 」;We don't want to do this."";3
108;we don't want to do this. 」;We do not want this."";4
109;colombia car bomb caused at least 4 deaths;Car Bombing in Colombia Left at Least 4 Dead;1
110;colombia car bomb caused at least 4 deaths;Car Bomb Killed 4 Four People in Columbia;2
111;colombia car bomb caused at least 4 deaths;Colombian Car Bombing Kills At Least Four People;3
112;colombia car bomb caused at least 4 deaths;Car Bomb in Columbia Causes at Least 4 Dead;4
113;mankind has in total 23 chromosome.;Humans have a total of 23 pairs of chromosomes.;1
114;mankind has in total 23 chromosome.;Human beings have 23 sets of chromosomes.;2
115;mankind has in total 23 chromosome.;Human beings have 23 pairs of chromosomes.;3
116;mankind has in total 23 chromosome.;Human beings have 23 pairs of chromosomes.;4
117;pyongyang this month 10 declared secession from the nuclear non - - proliferation treaty release and washington confrontation .;Pyongyang declared its withdrawal from the Nuclear Non-Proliferation Treaty on the 10th of this month, resulting in a stand-off with Washington.;1
118;pyongyang this month 10 declared secession from the nuclear non - - proliferation treaty release and washington confrontation .;Pyongyang announced its withdrawal from the Nuclear Non-Proliferation Treaty on the 10th of this month and is poised to confront with Washington.;2
119;pyongyang this month 10 declared secession from the nuclear non - - proliferation treaty release and washington confrontation .;Pyongyang announced to quit the Nuclear Non-Proliferation Treaty on 10th this month, confronting itself with Washington.;3
120;pyongyang this month 10 declared secession from the nuclear non - - proliferation treaty release and washington confrontation .;Pyongyang announced to quit the nonproliferation treaty on 10th of Jan., casting a confronting situation with the US.;4
121;European Union recognized a large amount diamond transaction violates the monopoly law;Multi-billion-dollar Diamond Deal Violates Antitrust Law, EU Concludes;1
122;European Union recognized a large amount diamond transaction violates the monopoly law;European Union Identified a Huge Diamond Deal As a Monopoly;2
123;European Union recognized a large amount diamond transaction violates the monopoly law;EU Regards A Huge Diamond Deal Violating Antitrust Law;3
124;European Union recognized a large amount diamond transaction violates the monopoly law;EU Acknowledges a Substansive Diamond Transaction against Anti-monopoly Law;4
125;The United States to use the base of Incirlik, Batman and Diyarbakir, the port is Tasucu, Mersin and Iskenderun.;The three bases that the United States proposed for use are Incirlik, Batman and Diyarbakir; the three ports are Tasucu, Mersin and Iskenderun.;1
126;The United States to use the base of Incirlik, Batman and Diyarbakir, the port is Tasucu, Mersin and Iskenderun.;U.S. requested the use of three bases, namely Incirlik, Batman and Diyarbakir, as well as the 3 ports of Tasucu, Mersin and Iskenderun.;2
127;The United States to use the base of Incirlik, Batman and Diyarbakir, the port is Tasucu, Mersin and Iskenderun.;The three bases the United States has required to use are Incirlik, Batman and Diyarbakir, and the three ports are Tugsas, Mersin and Iskenderun.;3
128;The United States to use the base of Incirlik, Batman and Diyarbakir, the port is Tasucu, Mersin and Iskenderun.;3 bases the US proposed to use are: Yinjierlike, Bateman and Diaerbaker, 3 ports: Tashuzhu, Meierxin and Yisikendelun.;4
129;He said that, ""The telecommunication control optimization has become the telecommunication industry most important question.;He said: ""The optimization of telecom regulations has become the most crucial issue in the industry.;1
130;He said that, ""The telecommunication control optimization has become the telecommunication industry most important question.;He said, ""The enhancement of telecommunications supervision has become the most important issue for the telecommunications industry.;2
131;He said that, ""The telecommunication control optimization has become the telecommunication industry most important question.;He said: ""The streamlining of the telecom administration has become a top priority in the telecom industry.;3
132;He said that, ""The telecommunication control optimization has become the telecommunication industry most important question.;He said, ""Optimization of inspection of telecommunication industry has become the most important issue of the telecommunication industry.;4
133;they are located in southern and south-eastern turkey .;All of them are located in southern and southeastern Turkey.;1
134;they are located in southern and south-eastern turkey .;These facilities are located on the south and southeast part of Turkey.;2
135;they are located in southern and south-eastern turkey .;They are all located in the south and southeast of Turkey.;3
136;they are located in southern and south-eastern turkey .;They all locate in the South or South-east of Turkey.;4
137;tibet will comprehensively promote tibet's of socialist material civilization , political and spiritual civilization healthy and coordinated development .;Tibet will fully promote a healthy and coordinated development of socialist material civilization, political civilization, and spiritual civilization.;1
138;tibet will comprehensively promote tibet's of socialist material civilization , political and spiritual civilization healthy and coordinated development .;Tibet is to promote at all front a material civilization under socialism; political civilization; spiritual civilization and correctness; coordination and development.;2
139;tibet will comprehensively promote tibet's of socialist material civilization , political and spiritual civilization healthy and coordinated development .;Tibet will promote a coordinated development of the socialist material civilization and political as well as spiritual civilization.;3
140;tibet will comprehensively promote tibet's of socialist material civilization , political and spiritual civilization healthy and coordinated development .;Tibet will promote the concerted development of the socialist material, political and spiritual civilization in the Region in full scale.;4
141;however , his delegation said the United States will not allow the North Korea to fulfil the existing obligations to provide any reward . );However, the US delegation emphasized that the United States will not provide any compensation for North Korea to live up to its existing obligation."";1
142;however , his delegation said the United States will not allow the North Korea to fulfil the existing obligations to provide any reward . );However, the U.S. delegation stressed that the United States will not provide any rewards to North Korea for its fulfillment of existing obligations."";2
143;however , his delegation said the United States will not allow the North Korea to fulfil the existing obligations to provide any reward . );However, the US delegation stressed that the United States will not offer any rewards in return for North Korea's fulfilling current obligations."";3
144;however , his delegation said the United States will not allow the North Korea to fulfil the existing obligations to provide any reward . );However, the US delegation stresses that the US will not pay the DPRK for its fulfillments of its current responsibilities."";4
145;but still 23% of infant due to cerebral hemorrhage remain severe brain damage and mental development situation has remained remarkably .;However, about 23% of the infants have shown no improvement of their mental development due to their severe brain damage caused by cerebral hemorrhage.;1
146;but still 23% of infant due to cerebral hemorrhage remain severe brain damage and mental development situation has remained remarkably .;However, about 23 percent of the infants, who suffered serious injury due to brain bleeding, showed little improvement in intelligence development.;2
147;but still 23% of infant due to cerebral hemorrhage remain severe brain damage and mental development situation has remained remarkably .;However, there are still 23% of the babies whose IQ remained unchanged due to severe brain damages left over by cerebral hemorrhage.;3
148;but still 23% of infant due to cerebral hemorrhage remain severe brain damage and mental development situation has remained remarkably .;However, there were still 23% of infants showing no sign of improvement in intellectual development due to serious brain damages caused by cerebral hemorrhage.;4
149;He said: ""We are slowly but determined to win the confidence of the people,"" he said.;He said: ""We're slowly but steadily winning back people's confidence."";1
150;He said: ""We are slowly but determined to win the confidence of the people,"" he said.;We are slowly but definitely winning the confidence of the people,"" he said.;2
151;He said: ""We are slowly but determined to win the confidence of the people,"" he said.;We are slowly but certainly winning back people's confidence,"" he said.;3
152;He said: ""We are slowly but determined to win the confidence of the people,"" he said.;He said, ""We are slowly, but doubtlessly win back people's confidence."";4
153;This series of relevant departments have also come out of it.;The release of this series has also been endorsed by the relevant departments.;1
154;This series of relevant departments have also come out of it.;The series was launched after the approval by the related department.;2
155;This series of relevant departments have also come out of it.;The publication of the series has won praises from relevant departments.;3
156;This series of relevant departments have also come out of it.;The publishing of the series has also won affirmation from pertinent official departments.;4
157;the dead china including a a - year - old child , injured , five of whom remain in critical condition .;The dead include a one-year-old child, and five of the wounded are in critical condition.;1
158;the dead china including a a - year - old child , injured , five of whom remain in critical condition .;The death toll included a one-year old child and five of the injured were in critical conditions.;2
159;the dead china including a a - year - old child , injured , five of whom remain in critical condition .;The killed include a one-year-old child. Five injured people were in serious conditions.;3
160;the dead china including a a - year - old child , injured , five of whom remain in critical condition .;The dead includes a one-year-old enfant and 5 were seriously injured.;4
161;lik actively PlayStation2 to network world;Sony to Actively Promote PlayStation 2 to Cyber World;1
162;lik actively PlayStation2 to network world;Sony Aggressively Pushes the PlayStation 2 Towards the Internet World;2
163;lik actively PlayStation2 to network world;Sony Actively Pushes PlayStation 2 to Network World;3
164;lik actively PlayStation2 to network world;Sony Makes Effort to Push PlayStation 2 Online;4
165;The cartel said in a statement that cost-cutting measures are in accordance with the plan.;Alcatel issued a statement saying that cost-cutting measures are being carried out as planned.;1
166;The cartel said in a statement that cost-cutting measures are in accordance with the plan.;Alcatel released a statement, which said the cost cutting measures are proceeding as planned.;2
167;The cartel said in a statement that cost-cutting measures are in accordance with the plan.;Alcatel said in a statement that the cost-cut steps were underway on schedule.;3
168;The cartel said in a statement that cost-cutting measures are in accordance with the plan.;According to Alcatel's statement, measures to cut cost is on the way according to set program.;4
169;Exit Poll, Sharon Led the Party Won Israeli General Elections;Exit Polls: Sharon-led Likud Party Wins Israeli General Election;1
170;Exit Poll, Sharon Led the Party Won Israeli General Elections;Exit Polls: Sharon's Likud Party Wins the Israeli Election;2
171;Exit Poll, Sharon Led the Party Won Israeli General Elections;Exit Public Poll: Sharon's Alliance Party Wins Israeli Election;3
172;Exit Poll, Sharon Led the Party Won Israeli General Elections;Exit Poll--Likud Party led by Sharon Won Israeli General Election;4
173;the servant government and Tiger Organise sign in February last year agreement both parties begin to implement formally cease fire.;Sri Lankan government and LTTE signed an agreement in February last year, and both sides started to enforce an official cease-fire.;1
174;the servant government and Tiger Organise sign in February last year agreement both parties begin to implement formally cease fire.;Sri Lanka Government and the LTTE have formally entered into a ceasefire agreement since February last year.;2
175;the servant government and Tiger Organise sign in February last year agreement both parties begin to implement formally cease fire.;The Sri Lankan government and the Tiger group formally ceased fire after the two sides signed an agreement last February.;3
176;the servant government and Tiger Organise sign in February last year agreement both parties begin to implement formally cease fire.;The Sri Lanka government and the Tigers signed agreement and began formal ceasefire last February.;4
177;but government officials said that , along with river water constantly declining , the worst has passed .;However, government officials said as the river water is continuously receding, the worst time is over.;1
178;but government officials said that , along with river water constantly declining , the worst has passed .;However, government officials said that the worst situation is over because water level is now receding.;2
179;but government officials said that , along with river water constantly declining , the worst has passed .;However, government officials said that the worst period had gone with the declining water level.;3
180;but government officials said that , along with river water constantly declining , the worst has passed .;But government officials said, as river water falls, the worst time has passed.;4
181;we believe this is a new discoveries .;We believe this is a new finding.;1
182;we believe this is a new discoveries .;We believe this is a new observation.;2
183;we believe this is a new discoveries .;We think that this is a new discovery.;3
184;we believe this is a new discoveries .;We believe that this is a new observation.;4
185;America will negotiate with North Korea but refuse give again pay;US Willing to Negotiate with North Korea but Not to Pay More Compensation;1
186;America will negotiate with North Korea but refuse give again pay;U.S. Willing to Talk to North Korea, but Will Not Pay Any Rewards Again;2
187;America will negotiate with North Korea but refuse give again pay;The United States Willing To Talk To North Korea But Refuses To Pay Again;3
188;America will negotiate with North Korea but refuse give again pay;The US Willing to Talk with North Korea but Refuses to Pay More;4
189;Thai government sending machine evacuates the peaceful foreign national from Cambodia;Thai Authorities Sent Planes to Evacuate Thai Nationals from Cambodia;1
190;Thai government sending machine evacuates the peaceful foreign national from Cambodia;Thai Authority Dispatched Planes to Evacuate Thai Nationals From Cambodia;2
191;Thai government sending machine evacuates the peaceful foreign national from Cambodia;Thai Authority Sends Airplanes to Evacuate Thais in Cambodia;3
192;Thai government sending machine evacuates the peaceful foreign national from Cambodia;Thai Authorities Airlift Nationals from Cambodia;4
193;document stipulates, if these USA personnel violates the law outside military installation, will accept investigation according to Turkey criminal law.;The document stipulates that these US personnel are subject to investigation pursuant to the Turkish Penal Law if they commit crimes outside the military facilities.;1
194;document stipulates, if these USA personnel violates the law outside military installation, will accept investigation according to Turkey criminal law.;The documents stipulated that these U.S. officials would be subject to Turkish legal proceedings if they commit any crime outside the military facilities.;2
195;document stipulates, if these USA personnel violates the law outside military installation, will accept investigation according to Turkey criminal law.;Under the documents, if the US personnel commit crimes outside the military facilities, they will be investigated according to Turkey's Criminal Law.;3
196;document stipulates, if these USA personnel violates the law outside military installation, will accept investigation according to Turkey criminal law.;The document regulates that if these US personnel breaches the law outside of military facilities, they will be investigated according to Turkish law.;4
197;( hong kong and taiwan ) mainland tourists to macao consumption capacity weak;(HK, Macau, Taiwan) Mainland Tourists Show Strong Purchasing Power in Macau;1
198;( hong kong and taiwan ) mainland tourists to macao consumption capacity weak;(Hong Kong, Macau and Taiwan) Mainland China Tourists Have High Spending Power in Macau;2
199;( hong kong and taiwan ) mainland tourists to macao consumption capacity weak;(Hong Kong, Macao and Taiwan) Mainland Tourists Have Strong Consumption in Macao;3
200;( hong kong and taiwan ) mainland tourists to macao consumption capacity weak;(Hong Kong, Macao and Taiwan) Mainland Tourists Show Great Consuming Capabilities in Macao;4
201;tanzanian estimated 10 days , the mission cost about 16 million yuan .;The entire journey is estimated to take 10 days at the cost of about 16,000 yuan for the whole package.;1
202;tanzanian estimated 10 days , the mission cost about 16 million yuan .;The whole trip takes 10 days and costs about 16 thousand Renminbi.;2
203;tanzanian estimated 10 days , the mission cost about 16 million yuan .;The tour is expected to take 10 days costing about RMB16,000.;3
204;tanzanian estimated 10 days , the mission cost about 16 million yuan .;The entire trip is estimated to be 10 days, with a fee charge of about RMB16,000.;4
205;the agence france presse switzerland duffus 25 ) - u.s. secretary of state colin powell , the us attacks , iraq plans to obtain more than 10 allies support .;(AFP, Davos, Switzerland, January 25)  US Secretary of State Powell said that the US plan to attack Iraq has got the support of over ten allies.;1
206;the agence france presse switzerland duffus 25 ) - u.s. secretary of state colin powell , the us attacks , iraq plans to obtain more than 10 allies support .;(Agence France-Presse, Davos, Switzerland, 25th) - U.S. Secretary of State Colin Powell said over 10 allies support U.S. plan to attack Iraq.;2
207;the agence france presse switzerland duffus 25 ) - u.s. secretary of state colin powell , the us attacks , iraq plans to obtain more than 10 allies support .;(AFP report from Davos, Switzerland, January 26) US Secretary of State Powell said that US plan to attack Iraq had won support from a dozen allied countries.;3
208;the agence france presse switzerland duffus 25 ) - u.s. secretary of state colin powell , the us attacks , iraq plans to obtain more than 10 allies support .;(AFP, Davos, Switzerland, Jan 25) Secretary of State Powell said that the US had a dozen allies to back its attack on Iraq.;4
209;Iraq War May Lead to an International Oil Market Supply Sufficient;War in Iraq May Lead to Sufficient Supply on the World Oil Market;1
210;Iraq War May Lead to an International Oil Market Supply Sufficient;A War on Iraq May Cause Abundant Supply In International Oil Market;2
211;Iraq War May Lead to an International Oil Market Supply Sufficient;Iraqi War May Lead to Sufficient Oil Supply in International Oil Market;3
212;Iraq War May Lead to an International Oil Market Supply Sufficient;War on Iraq Might Cause Plenty of Oil Supply in the International Market;4
213;the World Health Organization since the election the new chairman;WHO Starts to Elect New Director-General;1
214;the World Health Organization since the election the new chairman;World Health Organization to Nominate a New Director-General;2
215;the World Health Organization since the election the new chairman;World Health Organization Begins to Elect New Director-General;3
216;the World Health Organization since the election the new chairman;WHO Begins to Elect New Councilor;4
217;one diplomatic agent says: "" Now 轮到 south country public figure raised one's head. "";A diplomat said: ""Now it's time for people from southern nations to take the lead."";1
218;one diplomatic agent says: "" Now 轮到 south country public figure raised one's head. "";It is now the turn for a figure from a southern nation to emerge,"" a diplomat said.;2
219;one diplomatic agent says: "" Now 轮到 south country public figure raised one's head. "";One diplomat said: ""Now it is turn for people from the southern countries."";3
220;one diplomatic agent says: "" Now 轮到 south country public figure raised one's head. "";A diplomat said, ""now, it is the time from the South."";4
221;tibet hold spring festival tibetan new year his;Spring Festival/Tibetan New Year Party Held in Tibet;1
222;tibet hold spring festival tibetan new year his;Tibet Held Gathering to Celebrate Spring Festival and Tibetan New Year;2
223;tibet hold spring festival tibetan new year his;Tibet Holds Greeting Gathering for Spring Festival and Tibetan New Year;3
224;tibet hold spring festival tibetan new year his;Tibet Held Party to Pay the New Years Call Together of the Tibetan Calendar;4
225;(International) France to Send Military Reinforcement in Cote D'ivoire Peacekeeping Forces;(International)  France Sends Gendarmes to Reinforce Peace-keeping Troops in Cote d'Ivoire;1
226;(International) France to Send Military Reinforcement in Cote D'ivoire Peacekeeping Forces;(International) France Dispatched Gendarmes to Reinforce Peace Keeping Troops in Ivory Coast;2
227;(International) France to Send Military Reinforcement in Cote D'ivoire Peacekeeping Forces;(International) France Sends Military Police to Reinforce Peace-Keeping Forces in Cote d'Ivoire;3
228;(International) France to Send Military Reinforcement in Cote D'ivoire Peacekeeping Forces;(International) France Sends Military Police to Reinforce the Peace-keeping Force in Cote d'Ivoir;4
229;a play close to the lives of us the same , simple and beautiful head ornaments made her glorious photographs .;Her life-like make-up in the play and her simple but pretty headdress only add to her brilliance.;1
230;a play close to the lives of us the same , simple and beautiful head ornaments made her glorious photographs .;The stage appearance was close to life; the simple but pretty hair ornaments all provided exceptional luster to her.;2
231;a play close to the lives of us the same , simple and beautiful head ornaments made her glorious photographs .;The close-to-life makeup, simple and beautiful head decorations make her dazzlingly brilliant.;3
